AMBulatório;Ambulatório sigla;Endereço;Médico;Especialidade;Dia da Semana;Período;Entrada;Saída;
AMBULATÓRIO DE DOENÇAS INFECTOCONTAGIOSAS ;SÃO SEBASTIÃO ;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;CITNIA TOZZE DE BARROS ;PNEUMOLOGISTA PEDIÁTRICO ;Quarta;Manhã;09:00;13:00;
AMBULATÓRIO DE DOENÇAS INFECTOCONTAGIOSAS ;SÃO SEBASTIÃO ;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;CITNIA TOZZE DE BARROS ;PNEUMOLOGISTA PEDIÁTRICO ;Quinta ;Manhã;09:00;13:00;
AMBULATÓRIO DE DOENÇAS INFECTOCONTAGIOSAS ;SÃO SEBASTIÃO ;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;CITNIA TOZZE DE BARROS ;PNEUMOLOGISTA PEDIÁTRICO ;Sexta;Manhã;09:00;13:00;
AMBULATÓRIO DE DOENÇAS INFECTOCONTAGIOSAS ;SÃO SEBASTIÃO ;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;JOSE LUIZ IUNES FILHO ;PNEUMOLOGISTA ;Segunda;Manhã;07:00;10:00;
AMBULATÓRIO DE DOENÇAS INFECTOCONTAGIOSAS ;SÃO SEBASTIÃO ;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;JOSE LUIZ IUNES FILHO ;PNEUMOLOGISTA ;Terça;Manhã;07:00;10:00;
AMBULATÓRIO DE DOENÇAS INFECTOCONTAGIOSAS ;SÃO SEBASTIÃO ;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;JOSE LUIZ IUNES FILHO ;PNEUMOLOGISTA ;Quinta ;Manhã;07:00;10:00;
AMBULATÓRIO DE DOENÇAS INFECTOCONTAGIOSAS ;SÃO SEBASTIÃO ;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;JOSE LUIZ IUNES FILHO ;PNEUMOLOGISTA ;Sexta;Manhã;07:00;10:00;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANDRE LUIZ DE ALMEIDA VENTURA ;PSIQUIATRA ;Segunda;Manhã;08:30;12:30;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANDRE LUIZ DE ALMEIDA VENTURA ;PSIQUIATRA ;Terça;Manhã;08:30;12:30;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANDRE LUIZ DE ALMEIDA VENTURA ;PSIQUIATRA ;Quarta;Manhã;08:30;12:30;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANDRE LUIZ DE ALMEIDA VENTURA ;PSIQUIATRA ;Quinta ;Manhã;08:30;12:30;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANDRE LUIZ DE ALMEIDA VENTURA ;PSIQUIATRA ;Sexta;Manhã;08:30;12:00;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANA ROSA DE ABREU SILVA ;PSIQUIATRA ;Quarta;Manhã;07:00;11:00;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANA ROSA DE ABREU SILVA ;PSIQUIATRA ;Segunda;Tarde;13:00;17:00;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANA ROSA DE ABREU SILVA ;PSIQUIATRA ;Terça;Tarde;13:00;17:00;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANA ROSA DE ABREU SILVA ;PSIQUIATRA ;Quarta;Tarde;13:00;17:00;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANA ROSA DE ABREU SILVA ;PSIQUIATRA ;Quinta ;Tarde;13:00;17:00;
CENTRO DE ATENÇÃO PSICOSOCIAL ;CAPS III ;RUA 14, 140, CENTRO, Barretos, SP ;ANA ROSA DE ABREU SILVA ;PSIQUIATRA ;Sexta;Tarde;13:00;17:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FERNANDO UBAIZ AMSEI ;PSIQUIATRA ;Segunda;Manhã;07:30;11:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FERNANDO UBAIZ AMSEI ;PSIQUIATRA ;Terça;Manhã;07:30;11:30;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FERNANDO UBAIZ AMSEI ;PSIQUIATRA ;Segunda;Tarde;13:00;17:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FERNANDO UBAIZ AMSEI ;PSIQUIATRA ;Terça;Tarde;13:00;17:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;IVAN SERGIO PETROUCIC ;PSIQUIATRA ;Terça;Tarde;13:00;17:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;IVAN SERGIO PETROUCIC ;PSIQUIATRA ;Quarta;Manhã;07:00;11:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;IVAN SERGIO PETROUCIC ;PSIQUIATRA ;Quinta ;Tarde;13:00;17:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;IVAN SERGIO PETROUCIC ;PSIQUIATRA ;Sexta;Manhã;07:30;11:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FLAVIO MARTINS SHIMOMURA ;PSIQUIATRA ;Segunda;Manhã;07:00;12:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FLAVIO MARTINS SHIMOMURA ;PSIQUIATRA ;Terça;Manhã;08:00;12:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FLAVIO MARTINS SHIMOMURA ;PSIQUIATRA ;Quarta;Manhã;07:00;12:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FLAVIO MARTINS SHIMOMURA ;PSIQUIATRA ;Quinta ;Manhã;08:00;12:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;FLAVIO MARTINS SHIMOMURA ;PSIQUIATRA ;Terça;Tarde;13:00;17:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;LUCIANA AREIAS SURIAM ;PSIQUIATRA ;Segunda;Manhã;08:00;12:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;LUCIANA AREIAS SURIAM ;PSIQUIATRA ;Terça;Manhã;07:00;12:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;LUCIANA AREIAS SURIAM ;PSIQUIATRA ;Quarta;Manhã;08:00;12:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;LUCIANA AREIAS SURIAM ;PSIQUIATRA ;Quinta ;Manhã;07:00;12:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;LUCIANA AREIAS SURIAM ;PSIQUIATRA ;Sexta;Tarde;12:00;16:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;LUCIANA AREIAS SURIAM ;PSIQUIATRA ;Terça;Tarde;13:00;17:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;LUCIANA AREIAS SURIAM ;PSIQUIATRA ;Quinta ;Tarde;13:00;16:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;RAQUEL APARECIDA REIS TEIXEIRA ;PSIQUIATRA ;Terça;Manhã;07:00;11:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;RAQUEL APARECIDA REIS TEIXEIRA ;PSIQUIATRA ;Quinta ;Manhã;07:00;11:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;RAQUEL APARECIDA REIS TEIXEIRA ;PSIQUIATRA ;Terça;Tarde;13:00;17:00;
AMBULATORIO DE SAUDE MENTAL DR MARIO SILVA ;ASM;RUA 40, 262,  BARONI, Barretos, SP ;RAQUEL APARECIDA REIS TEIXEIRA ;PSIQUIATRA ;Quinta ;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GEORGE KALIL FERREIRA ;VASCULAR ;Segunda;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GEORGE KALIL FERREIRA ;VASCULAR ;Terça;Manhã;07:00;12:00;
